W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0329 16:34:40.978000 140508108342464 torch/distributed/run.py:779] *****************************************
swanlab: Tracking run with swanlab version 0.7.13
swanlab: Run data will be saved locally in /home/yjp/em_bench/learn/minimind/trainer/swanlog/run-20260329_163448-48vtjgldxt7fiiudntyr6
swanlab: 👋 Hi lanze,welcome to swanlab!
swanlab: Syncing run MiniMind-GRPO-Epoch-1-BS-2-LR-8e-08 to the cloud
swanlab: 🏠 View project at https://swanlab.cn/@lanze/MiniMind-GRPO
swanlab: 🚀 View run at https://swanlab.cn/@lanze/MiniMind-GRPO/runs/48vtjgldxt7fiiudntyr6
`torch_dtype` is deprecated! Use `dtype` instead!
Model Params: 104.03M
Trainable Params: 104.031M
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 67.27it/s]
torch.compile enabled
Model Params: 104.03M
Trainable Params: 104.031M
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 75.59it/s]
past_key_values should not be None in from_legacy_cache()
past_key_values should not be None in from_legacy_cache()
Epoch:[1/1](43/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: 0.3315, Avg Response Len: 244.38, Learning Rate: 0.00000008
Epoch:[1/1](44/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.3755, Avg Response Len: 276.44, Learning Rate: 0.00000008
Epoch:[1/1](45/2500), Actor Loss: 0.0007, Aux Loss: 0.0000, Reward: -1.1385, Avg Response Len: 311.06, Learning Rate: 0.00000008
Epoch:[1/1](46/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.1366, Avg Response Len: 366.44, Learning Rate: 0.00000008
Epoch:[1/1](47/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -0.7134, Avg Response Len: 485.12, Learning Rate: 0.00000008
Epoch:[1/1](48/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -1.1974, Avg Response Len: 463.69, Learning Rate: 0.00000008
Epoch:[1/1](49/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.6398, Avg Response Len: 328.50, Learning Rate: 0.00000008
Epoch:[1/1](50/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -1.0991, Avg Response Len: 371.69, Learning Rate: 0.00000008
Epoch:[1/1](51/2500), Actor Loss: 0.0003, Aux Loss: 0.0000, Reward: -0.1607, Avg Response Len: 254.31, Learning Rate: 0.00000008
Epoch:[1/1](52/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: -0.6370, Avg Response Len: 491.94, Learning Rate: 0.00000008
Epoch:[1/1](53/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.0190, Avg Response Len: 328.19, Learning Rate: 0.00000008
Epoch:[1/1](54/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: 0.1620, Avg Response Len: 407.44, Learning Rate: 0.00000008
Epoch:[1/1](55/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: 0.4831, Avg Response Len: 333.38, Learning Rate: 0.00000008
Epoch:[1/1](56/2500), Actor Loss: 0.0001, Aux Loss: 0.0000, Reward: 0.7173, Avg Response Len: 348.56, Learning Rate: 0.00000008
Epoch:[1/1](57/2500), Actor Loss: 0.0002, Aux Loss: 0.0000, Reward: -0.8227, Avg Response Len: 189.88, Learning Rate: 0.00000008
